domain,aws_networks_size,aws_network_labels,domain_alexa_rank
uplandsoftware.com,1978,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-west-1)', 'EC2 (eu-west-1)', 'EC2 (ap-southeast-2)']",277780.0
tradewindsnews.com,1975,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",541149.0
emoneyadvisor.com,1956,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']",923014.0
scb.co.th,1955,"['EC2 (ap-southeast-1)', 'EC2 (us-west-1)']",35432.0
atb.com,1955,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']",135994.0
hanoverresearch.com,1948,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-gov-west-1)', 'EC2 (us-east-1)']",597338.0
pandadoc.com,1945,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-west-1)', 'EC2 (us-east-1)']",15217.0
naturalgrocers.com,1944,"['EC2 (us-west-2)', 'EC2 (us-east-1)']",815904.0
aapc.com,1942,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']",103344.0
envoyglobal.com,1941,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-east-1)']",241485.0
camunda.com,1941,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']",688650.0
aiag.org,1940,"['EC2 (us-west-2)', 'EC2 (us-east-1)']",890543.0
exhalespa.com,1939,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (us-east-1)']",205964.0
appcast.io,1938,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",12322.0
invisionapp.com,1933,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (us-west-1)', 'EC2 (us-east-1)']",4332.0
rbkc.gov.uk,1933,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",701389.0
helpscout.com,1930,['EC2 (us-east-1)'],53443.0
siteimprove.com,1930,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",82622.0
trademarknow.com,1930,['EC2 (us-east-1)'],803125.0
mediakind.com,1930,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",510880.0
olark.com,1930,['EC2 (us-east-1)'],71607.0
xero.com,1929,"['EC2 (eu-west-1)', 'EC2 (ap-southeast-2)', 'EC2 (us-east-1)']",2485.0
protectedtrust.com,1929,['EC2 (us-east-1)'],318972.0
zimbra.com,1928,['EC2 (us-east-1)'],37897.0
bupa.com,1928,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",751247.0
compucom.com,1928,"['EC2 (eu-west-2)', 'EC2 (us-east-1)']",163884.0
icontact.com,1927,['EC2 (us-east-1)'],31558.0
writersdigest.com,1927,['EC2 (us-east-1)'],56596.0
amplexor.com,1927,"['EC2 (eu-west-3)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",273116.0
europages.com,1926,"['EC2 (ap-southeast-2)', 'EC2 (us-east-1)']",627306.0
smithmicro.com,1926,"['EC2 (us-west-2)', 'EC2 (us-east-1)']",50489.0
siouxfallsfcu.org,1926,['EC2 (us-east-1)'],321871.0
gardengatemagazine.com,1926,['EC2 (us-east-1)'],307617.0
antiquetrader.com,1926,['EC2 (us-east-1)'],298497.0
