domain,aws_networks_size,aws_network_labels,includes
firstenergycorp.com,1024,['AMAZON (us-east-1)'],"['spf.mailjet.com', 'spf-a.firstenergycorp.com', 'sendgrid.net']"
autodesk.com,1024,['AMAZON (us-east-1)'],"['spf.protection.outlook.com', '_spf.salesforce.com', 'amazonses.com', 'sendgrid.net', '_spf.centercode.com']"
ralphlauren.com,1024,['AMAZON (us-east-1)'],['amazonses.com']
owenscorning.com,1024,['AMAZON (us-east-1)'],"['spf1.owenscorning.com', 'cust-spf.exacttarget.com', 'spf.protection.outlook.com', 'spf-001c8001.pphosted.com']"
hasbro.com,1024,['AMAZON (us-east-1)'],['_u.hasbro.com._spf.smart.ondmarc.com']
swgas.com,1024,['AMAZON (us-east-1)'],"['amazonses.com', 'spf.protection.outlook.com', 'spf.messagelabs.com']"
zoetis.com,1024,['AMAZON (us-east-1)'],"['_spf1.zoetis.com', 'amazonses.com', '_spf2.zoetis.com', 'spf.efwmx.net', '_spf3.zoetis.com']"
netflix.com,1024,['AMAZON (us-east-1)'],"['_spf_ipv4.netflix.com', 'servers.mcsv.net', '_spf.google.com', 'amazonses.com']"
pg.com,1024,['AMAZON (us-east-1)'],"['mail.zendesk.com', 'spf.protection.outlook.com', 'spf.messagelabs.com', '_spf.salesforce.com', 'amazonses.com', '_spf.fireeyecloud.com']"
emerson.com,1024,['AMAZON (us-east-1)'],"['spf.protection.outlook.com', 'mailgun.org', '_netblocks.eloqua.com', 'amazonses.com', 'spf-00300601.pphosted.com']"
capitalone.com,1024,['AMAZON (us-east-1)'],"['mir.capitalone.com', 'sf2.capitalone.com', 'gspf.capitalone.com', 'gspf2.capitalone.com', 'sf.capitalone.com', 'spf2.capitalone.com', 'spf1.capitalone.com']"
pennmutual.com,1024,['AMAZON (us-east-1)'],"['spf.constantcontact.com', 'amazonses.com', 'sendgrid.net', 'email01.fmgsuite.com', 'spf-00034b01.pphosted.com']"
westrock.com,515,"['EC2 (us-west-2)', 'EC2 (us-east-1)']","['_spfv.westrock.com', '_spf1.westrock.com', 'spf.protection.outlook.com']"
aflac.com,512,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']","['spf.protection.outlook.com', '2499321.spf02.hubspotemail.net', 'spf-001f5701.pphosted.com', '_spf.messagegears.net']"
plexus.com,512,"['EC2 (eu-west-1)', 'EC2 (us-east-1)']",['_spf.messagegears.net']
manpowergroup.com,274,"['EC2 (us-west-2)', 'EC2 (ap-southeast-1)', 'EC2 (ap-northeast-1)', 'EC2 (us-east-1)']","['spf.protection.outlook.com', 'spf1.manpowergroup.com']"
21cf.com,256,['EC2 (us-east-1)'],"['servers.mcsv.net', 'spf.protection.outlook.com', 'cust-spf.exacttarget.com', '_spf.google.com', 'spf-001cd501.pphosted.com', 'spf.mandrillapp.com']"
coach.com,256,['EC2 (ap-northeast-1)'],"['spf-0015f701.pphosted.com', 'spf-bma.mpme.jp', 'spf-rmb.mpme.jp', 'spf1.coach.com', 'factory.coach.com']"
mrcglobal.com,67,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']",['spf2.mrcglobal.com']
nvidia.com,41,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (us-west-1)', 'EC2 (eu-west-1)']",['_s00005932.autospf.email']
voya.com,39,"['EC2 (us-west-2)', 'EC2 (us-east-1)']","['voyausspf1.voya.com', 'vimspf.voya.com', 'spf.protection.outlook.com', 'voyausspf2.voya.com']"
hdsupply.com,38,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf2.hdsupply.com', '_spf.salesforce.com', 'spf1.hdsupply.com', 'spf.workfront.com']"
caleres.com,35,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf-a.rnmk.com', 'spf.protection.outlook.com', '_spf.psm.knowbe4.com', 'spf.workfront.com', 'emailsrvr.com']"
polaris.com,35,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf3.polaris.com', 'spf2.polaris.com', 'spf1.polaris.com', 'spf.protection.outlook.com']"
micron.com,32,"['EC2 (us-west-2)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)']","['spf-c3.micron.com', 'spf-c4.micron.com', 'spf.dynect.net', 'spf.protection.outlook.com']"
abm.com,31,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['_spf.salesforce.com', 'spf.smtp2go.com', 'spf.abm.com', 'spf-d.abm.com', 'spf-c.abm.com']"
domtar.com,31,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['spf-001d9701.pphosted.com', 'aspmx.pardot.com', 'spf.workfront.com']"
broadridge.com,31,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['spf.messagelabs.com', 'spf2.broadridge.com', '_netblocks.eloqua.com', 'spf.z118.zixworks.com', 'spf1.broadridge.com', 'spf.workfront.com']"
homedepot.com,31,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['_spf.google.com', 'spf.protection.outlook.com', 'spf.workfront.com']"
lithia.com,31,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (eu-west-1)', 'EC2 (eu-central-1)']","['service-now.com', 'spf.protection.outlook.com', 'spf.mtasv.net', 'spf.workfront.com']"
target.com,27,"['EC2 (us-west-2)', 'EC2 (us-east-2)']","['spf.mandrillapp.com', 'servers.mcsv.net', 'spf.clearslide.com', 'everbridge.net']"
ironmountain.com,25,"['EC2 (ap-southeast-1)', 'EC2 (eu-west-1)', 'EC2 (us-east-1)']","['_netblocks.google.com', '_spf.salesforce.com', '_netblocks3.google.com', '_int1.imrm.com', '_ext5.imrm.com', '_ext4.imrm.com', '_ext3.imrm.com', '_int2.imrm.com', '_ext2.imrm.com']"
securian.com,23,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (eu-west-1)']",['spf-sfg.securian.com']
cbrands.com,21,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['sendgrid.net', 'docebosaas.com', 'spf.protection.outlook.com', 'mail.myobpayglobal.com']"
steelcase.com,20,"['EC2 (us-west-2)', 'EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['mail.zendesk.com', 'spf.protection.outlook.com', '_spf.stellar.aero', '_spf.createsend.com', '_spf.google.com', 'docebosaas.com']"
cooperstandard.com,18,"['EC2 (eu-west-1)', 'EC2 (ap-southeast-2)', 'EC2 (us-east-1)']","['eskerondemand.com', '1996554.spf02.hubspotemail.net', 'jae.es', 'sendgrid.net', 'sharepointonline.com']"
assurant.com,17,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['spf.protection.outlook.com', 'l._spf.assurant.com', 'docebosaas.com', 'p._spf.assurant.com', 'aspmx.pardot.com', 'c._spf.assurant.com']"
heartlandpaymentsystems.com,17,"['EC2 (us-west-2)', 'EC2 (us-east-2)']","['spf-00057b01.pphosted.com', '_spf.google.com', 'spf.clearslide.com', 'aspmx.pardot.com']"
tribunemedia.com,17,"['EC2 (us-west-2)', 'EC2 (us-east-2)']","['mail.zendesk.com', 'spf.clearslide.com', 'spf.protection.outlook.com', 'servers.mcsv.net']"
iheartmedia.com,17,"['EC2 (us-west-2)', 'EC2 (us-east-2)']",['spf.iheartmedia.com']
kodak.com,17,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['docebosaas.com', 'aspmx.pardot.com', 'spf.protection.outlook.com']"
edmc.edu,17,"['EC2 (us-west-2)', 'EC2 (us-east-2)']","['spf.protection.outlook.com', 'spf-0055af01.pphosted.com', 'spf.clearslide.com', 'a._spf.brightspace.com', 'jlgroup.com']"
paychex.com,17,"['EC2 (us-west-2)', 'EC2 (us-east-2)']","['spf.constantcontact.com', 'spf.clearslide.com', 'spf.protection.outlook.com']"
trimble.com,17,"['EC2 (eu-west-2)', 'EC2 (ca-central-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-southeast-2)', 'EC2 (eu-west-1)']","['_spf.salesforce.com', 'mktomail.com', 'docebosaas.com', 'spf1.trimble.com', 'sendgrid.net']"
mattel.com,16,"['EC2 (us-west-2)', 'EC2 (us-east-1)']","['spf_hrc.mattel.com', 'spf.protection.outlook.com', 'o365.connector.mattel.com', 'spf.mandrillapp.com', '_spf.centercode.com', 'shops.shopify.com']"
bd.com,16,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-gov-west-1)', 'EC2 (eu-central-1)']","['spf.flexmail.eu', 'servers.mcsv.net', 'spf.protection.outlook.com', '_spf.qualtrics.com', 'spf-0017d901.pphosted.com', 'mktomail.com', 'everbridge.net']"
lowes.com,15,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-gov-west-1)']","['spf.protection.outlook.com', '_spf.qualtrics.com', '_spf-entelo.lowes.com', 'everbridge.net']"
hyatt.com,14,"['EC2 (us-west-2)', 'EC2 (us-gov-west-1)', 'EC2 (us-east-1)']","['spf2.mailgun.org', '_spf.qualtrics.com', 'spf.hyatt.com', 'spf-00114c02.pphosted.com', 'spf1.hyatt.com', 'spf1.worldapp.com']"
vfc.com,13,"['EC2 (ap-southeast-1)', 'EC2 (ap-northeast-1)', 'EC2 (us-east-1)']","['nw027.com', 'spf.protection.outlook.com', '_spf.salesforce.com', 'spf.avature.net', 'spf-00127801.pphosted.com', '_spf.perceptyx.com', 'spf_94dot236.vfc.com']"
pseg.com,12,"['EC2 (us-west-2)', 'EC2 (us-east-2)', 'EC2 (us-east-1)']","['_spf.q4press.com', 'spf-002aba01.pphosted.com', 'pseg-mail.vrli.com', 'everbridge.net']"
insight.com,12,['EC2 (ap-southeast-2)'],"['spf.protection.outlook.com', 'mktomail.com', 'spf.messagelabs.com', 'authsmtp.com']"
